S.No.,Requested Timezone,Post Date,Location Name,Address Line1,Address Line2,City,State,Postal Code,Country,Time Zone,Serial Number,Connection Time,Disconnect Time,Total Time,Cummulative Energy,Total Fee,Fee Currency,Organization Name,Occupancy Billable Time,Total Occupancy Time,Billable Time,Plug Duration,Energy Start Time,Energy End Time,Energy Duration,Billing Unit Name,Evse Type,Max Power
125,US/Mountain,9/30/2023 13:30,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004536,9/30/2023 11:33,9/30/2023 13:30,1:57:05,9.2354375,3.6,USD,Portland State University,0:00:02,0:00:02,1:57:03,1:57:05,9/30/2023 10:33,9/30/2023 12:30,1:57:03,kWh,Level 2,6670.8576
126,US/Mountain,9/30/2023 13:30,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012964,9/30/2023 12:15,9/30/2023 13:30,1:15:05,2.6365508,1.29,USD,Portland State University,0:00:08,0:00:08,1:14:57,1:15:05,9/30/2023 11:15,9/30/2023 12:30,1:14:57,kWh,Level 2,3364.416
127,US/Mountain,9/30/2023 13:28,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012605,9/30/2023 12:41,9/30/2023 13:28,0:46:34,2.4649102,0.96,USD,Portland State University,0:00:38,0:00:38,0:45:56,0:46:34,9/30/2023 11:41,9/30/2023 12:28,0:45:56,kWh,Level 2,6764.6304
128,US/Mountain,10/3/2023 18:09,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004536,10/3/2023 9:58,10/3/2023 18:09,8:10:53,10.4539453,4.08,USD,Portland State University,5:25:56,5:25:56,2:44:57,8:10:53,10/3/2023 8:58,10/3/2023 17:09,2:44:57,kWh,Level 2,6670.8576
129,US/Mountain,9/30/2023 17:48,Portland State University - RMNC,1600 Southwest 4th Avenue,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004640,9/30/2023 13:28,9/30/2023 17:48,4:20:09,20.1468164,7.86,USD,Portland State University,0:00:02,0:00:02,4:20:07,4:20:09,9/30/2023 12:28,9/30/2023 16:48,4:20:07,kWh,Level 2,6728.832
130,US/Mountain,10/15/2023 19:38,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012605,10/15/2023 12:29,10/15/2023 19:38,7:08:45,46.0493398,22.56,USD,Portland State University,0:00:04,0:00:04,7:08:41,7:08:45,10/15/2023 11:29,10/15/2023 18:38,7:08:41,kWh,Level 2,6764.6304
131,US/Mountain,9/30/2023 15:13,Portland State University - RMNC,1600 Southwest 4th Avenue,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012498,9/30/2023 13:04,9/30/2023 15:13,2:09:01,8.018625,3.13,USD,Portland State University,0:00:03,0:00:03,2:08:58,2:09:01,9/30/2023 12:04,9/30/2023 14:13,2:08:58,kWh,Level 2,8640
132,US/Mountain,9/30/2023 22:57,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012964,9/30/2023 19:38,9/30/2023 22:57,3:19:06,10.9242813,4.26,USD,Portland State University,0:00:02,0:00:02,3:19:04,3:19:06,9/30/2023 18:38,9/30/2023 21:57,3:19:04,kWh,Level 2,3364.416
133,US/Mountain,10/4/2023 20:34,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004638,10/4/2023 16:21,10/4/2023 20:34,4:12:37,16.3934961,6.39,USD,Portland State University,0:00:00,0:00:00,4:12:37,4:12:37,10/4/2023 15:21,10/4/2023 19:34,4:12:37,kWh,Level 2,6775.4016
134,US/Mountain,10/1/2023 11:36,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004638,9/30/2023 22:33,10/1/2023 11:36,13:03:25,33.317418,12.99,USD,Portland State University,6:43:30,6:43:30,6:19:55,13:03:25,9/30/2023 21:33,10/1/2023 10:36,6:19:55,kWh,Level 2,6775.4016
135,US/Mountain,10/5/2023 18:21,Portland State University - Parking One,1872 Southwest Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004561,10/5/2023 9:58,10/5/2023 18:21,8:23:16,4.2015078,1.64,USD,Portland State University,5:58:47,5:58:47,2:24:29,8:23:16,10/5/2023 8:58,10/5/2023 17:21,2:24:29,kWh,Level 2,6633.4752
136,US/Mountain,10/5/2023 12:45,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004536,10/5/2023 10:32,10/5/2023 12:45,2:12:10,8.9267266,3.48,USD,Portland State University,0:00:02,0:00:02,2:12:08,2:12:10,10/5/2023 9:32,10/5/2023 11:45,2:12:08,kWh,Level 2,6670.8576
137,US/Mountain,10/5/2023 16:49,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012605,10/5/2023 12:53,10/5/2023 16:48,3:55:17,12.4819102,4.87,USD,Portland State University,1:48:34,1:48:34,2:06:43,3:55:17,10/5/2023 11:53,10/5/2023 15:48,2:06:43,kWh,Level 2,6764.6304
138,US/Mountain,10/11/2023 22:15,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004536,10/11/2023 10:13,10/11/2023 22:15,12:02:04,7.6680234,2.99,USD,Portland State University,9:36:06,9:36:06,2:25:58,12:02:04,10/11/2023 9:13,10/11/2023 21:15,2:25:58,kWh,Level 2,6670.8576
139,US/Mountain,10/11/2023 23:08,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012605,10/11/2023 21:11,10/11/2023 23:08,1:56:40,11.7226641,4.57,USD,Portland State University,0:00:04,0:00:04,1:56:36,1:56:40,10/11/2023 20:11,10/11/2023 22:08,1:56:36,kWh,Level 2,6764.6304
140,US/Mountain,10/5/2023 14:15,Portland State University - RMNC,1600 Southwest 4th Avenue,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012498,10/5/2023 9:59,10/5/2023 14:15,4:16:06,25.9654844,10.13,USD,Portland State University,0:00:12,0:00:12,4:15:54,4:16:06,10/5/2023 8:59,10/5/2023 13:15,4:15:54,kWh,Level 2,8640
141,US/Mountain,10/5/2023 18:13,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004536,10/5/2023 14:37,10/5/2023 18:13,3:36:17,3.3337656,1.3,USD,Portland State University,2:19:34,2:19:34,1:16:43,3:36:17,10/5/2023 13:37,10/5/2023 17:13,1:16:43,kWh,Level 2,6670.8576
142,US/Mountain,10/11/2023 10:49,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004638,10/5/2023 16:48,10/11/2023 10:45,137:57:44,64.1794805,25.03,USD,Portland State University,126:57:43,126:57:43,11:00:01,137:57:44,10/5/2023 15:48,10/11/2023 9:45,11:00:01,kWh,Level 2,6775.4016
143,US/Mountain,10/11/2023 19:03,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012964,10/11/2023 15:28,10/11/2023 19:03,3:35:11,6.1192578,2.39,USD,Portland State University,0:38:47,0:38:47,2:56:24,3:35:11,10/11/2023 14:28,10/11/2023 18:03,2:56:24,kWh,Level 2,3364.416
144,US/Mountain,10/9/2023 14:35,Portland State University - RMNC,1600 Southwest 4th Avenue,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012498,10/9/2023 12:21,10/9/2023 14:35,2:14:14,9.8026367,3.82,USD,Portland State University,0:00:02,0:00:02,2:14:12,2:14:14,10/9/2023 11:21,10/9/2023 13:35,2:14:12,kWh,Level 2,8640
